mg.D.x,-O0,40574711131,199.733609
mg.D.x,-O0,40889374449,196.799768
mg.D.x,-O0,41144025286,199.766007
ft.B.x,-O0,1260705024,6.31407
ft.B.x,-O0,1242152522,6.108455
ft.B.x,-O0,1245845627,6.134532
bt.C.x,-O0,25714072844,136.471312
bt.C.x,-O0,25776300711,137.822137
bt.C.x,-O0,25720768017,137.035144
lu.B.x,-O0,6602391362,36.421129
lu.B.x,-O0,6585521655,36.521214
lu.B.x,-O0,6583981252,36.519144
sp.B.x,-O0,6708473061,36.022129
sp.B.x,-O0,6679954578,35.551927
sp.B.x,-O0,6834928548,36.768594
ep.D.x,-O0,32598611738,184.214254
ep.D.x,-O0,32565223213,184.148757
ep.D.x,-O0,32686665834,184.957981
ua.B.x,-O0,4921047277,27.490322
ua.B.x,-O0,4936438657,27.465168
ua.B.x,-O0,4935528929,27.404691
is.B.x,-O0,88914811,0.560275
is.B.x,-O0,88668718,0.559851
is.B.x,-O0,87227559,0.542638
cg.C.x,-O0,3918221109,20.684528
cg.C.x,-O0,3939689804,20.808882
cg.C.x,-O0,3926706927,20.684474
mg.D.x,-O1,18516349998,92.874384
mg.D.x,-O1,18745115098,94.273672
mg.D.x,-O1,18428896426,91.794672
ft.B.x,-O1,553854967,2.597923
ft.B.x,-O1,554980513,2.598171
ft.B.x,-O1,560432891,2.639616
bt.C.x,-O1,8525484522,43.289239
bt.C.x,-O1,8541824019,43.383257
bt.C.x,-O1,8486694766,42.84492
lu.B.x,-O1,1640941721,8.595348
lu.B.x,-O1,1634058256,8.576388
lu.B.x,-O1,1599458613,8.31468
sp.B.x,-O1,2262199410,11.332358
sp.B.x,-O1,2256995260,11.301277
sp.B.x,-O1,2310750554,11.656592
ep.D.x,-O1,27286423798,149.38891
ep.D.x,-O1,27293282668,150.048671
ep.D.x,-O1,27184520312,149.616394
ua.B.x,-O1,1804941607,10.085566
ua.B.x,-O1,1786402470,9.949252
ua.B.x,-O1,1810519291,10.106712
is.B.x,-O1,57413244,0.369194
is.B.x,-O1,59312349,0.3912
is.B.x,-O1,57345190,0.370365
cg.C.x,-O1,2915832501,15.920727
cg.C.x,-O1,2954138251,16.17038
cg.C.x,-O1,2955181767,16.153456
mg.D.x,-O2,17593091741,91.44089
mg.D.x,-O2,17723036172,91.692143
mg.D.x,-O2,17739726865,91.272361
ft.B.x,-O2,522431524,2.563692
ft.B.x,-O2,516471456,2.497933
ft.B.x,-O2,513744534,2.470171
bt.C.x,-O2,8558298342,43.796928
bt.C.x,-O2,8606675172,43.923329
bt.C.x,-O2,8598722555,44.238801
lu.B.x,-O2,1606261330,8.472299
lu.B.x,-O2,1693778684,9.080042
lu.B.x,-O2,1510032816,7.899373
sp.B.x,-O2,2343912395,12.088965
sp.B.x,-O2,2247021835,11.403958
sp.B.x,-O2,2129693645,10.67176
ep.D.x,-O2,26323603083,144.286824
ep.D.x,-O2,26205341972,144.485733
ep.D.x,-O2,26170209737,144.450091
ua.B.x,-O2,1769632921,9.984421
ua.B.x,-O2,1755328148,9.892767
ua.B.x,-O2,1749442116,9.834789
is.B.x,-O2,58698764,0.388093
is.B.x,-O2,58159030,0.385267
is.B.x,-O2,56783729,0.367445
cg.C.x,-O2,2876740560,15.630764
cg.C.x,-O2,2880264233,15.62858
cg.C.x,-O2,2909297118,15.805936
mg.D.x,-O3,17503661428,91.514872
mg.D.x,-O3,17593886661,91.043172
mg.D.x,-O3,17468140462,90.618209
ft.B.x,-O3,522447638,2.590234
ft.B.x,-O3,524929443,2.583972
ft.B.x,-O3,524807189,2.58505
bt.C.x,-O3,9143339752,47.834006
bt.C.x,-O3,9158385856,47.782942
bt.C.x,-O3,9065669968,47.028499
lu.B.x,-O3,1584097384,8.406862
lu.B.x,-O3,1543702835,8.096197
lu.B.x,-O3,1562652799,8.271096
sp.B.x,-O3,2202456580,11.274758
sp.B.x,-O3,2269333728,11.794446
sp.B.x,-O3,2390879682,12.59807
ep.D.x,-O3,26275493465,144.370679
ep.D.x,-O3,26200745243,144.404473
ep.D.x,-O3,26095451079,144.122145
ua.B.x,-O3,1570568855,9.144429
ua.B.x,-O3,1545813181,8.94929
ua.B.x,-O3,1579873275,9.12755
is.B.x,-O3,58577487,0.387324
is.B.x,-O3,57875463,0.38125
is.B.x,-O3,56737525,0.370355
cg.C.x,-O3,2932672912,16.075366
cg.C.x,-O3,2884197939,15.691314
cg.C.x,-O3,2852425193,15.429669
